movie_id,title,tags
644583,The Mauritanian,"The true story of the Mauritanian Mohamedou Ould Slahi, who was held at the U.S military's Guantanamo Bay detention center without charges for over a decade and sought help from a defense attorney for his release. Drama Thriller TaharRahim JodieFoster BenedictCumberbatch ShaileneWoodley ZacharyLevi KevinMacdonald"
556867,Breaking News in Yuba County,"An overlooked pencil-pusher catches her husband in bed with another woman, the shock of which causes him to die of a heart attack. So she buries his body and takes advantage of the growing celebrity status that comes from having a missing husband. But she quickly finds herself in over her head, dodging cops and criminals, all while trying to keep the truth from her sister, a local news anchor who’s desperate for a story. Comedy Drama Crime AllisonJanney MilaKunis ReginaHall Awkwafina WandaSykes TateTaylor"
595813,Barb & Star Go to Vista Del Mar,"The story of best friends Barb and Star, who leave their small midwestern town for the first time to go on vacation in Vista Del Mar, Florida, where they soon find themselves tangled up in adventure, love, and a villain’s evil plot to kill everyone in town. Comedy KristenWiig AnnieMumolo JamieDornan DamonWayansJr. VanessaBayer JoshGreenbaum"
615643,Minari,"A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of this new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a home. Drama StevenYeun HanYeri YounYuh-jung WillPatton AlanKim LeeIsaacChung"
614409,To All the Boys: Always and Forever,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter. Romance Comedy Drama LanaCondor NoahCentineo JanelParrish AnnaCathcart RossButler MichaelFimognari
506281,The World to Come,"In 1856, two women forge a close connection despite their isolation on the American frontier. Romance Drama Western KatherineWaterston CaseyAffleck VanessaKirby ChristopherAbbott KimCiobanu MonaFastvold"
599960,French Exit,"“My plan was to die before the money ran out,” says 60-year-old penniless Manhattan socialite Frances Price, but things didn’t go as planned. Her husband Franklin has been dead for 12 years and with his vast inheritance gone, she cashes in the last of her possessions and resolves to live out her twilight days anonymously in a borrowed apartment in Paris, accompanied by her directionless son Malcolm and a cat named Small Frank—who may or may not embody the spirit of Frances’s dead husband. Comedy Drama MichellePfeiffer LucasHedges TracyLetts ValerieMahaffey SusanCoyne AzazelJacobs"
598896,Land,"Edee, in the aftermath of an unfathomable event, finds herself unable to stay connected to the world she once knew and in the face of that uncertainty, retreats to the magnificent, but unforgiving, wilds of the Rockies. After a local hunter brings her back from the brink of death, she must find a way to live again. Drama RobinWright DemiánBichir SarahDawnPledge KimDickens WarrenChristie RobinWright"
643586,Willy's Wonderland,"When his car breaks down, a quiet loner agrees to clean an abandoned family fun center in exchange for repairs. He soon finds himself waging war against possessed animatronic mascots while trapped inside Willy's Wonderland. Action Horror Comedy NicolasCage EmilyTosta BethGrant RicReitz ChrisWarner KevinLewis"
672647,The Map of Tiny Perfect Things,The story of two teenagers trapped in an endless time loop who set out to find all the tiny things that make that one day perfect. Fantasy Romance KathrynNewton KyleAllen JermaineHarris AnnaMikami JoshHamilton IanSamuels
599281,Fear of Rain,"A teenage girl living with schizophrenia begins to suspect her neighbor has kidnapped a child. Her parents try desperately to help her live a normal life, without exposing their own tragic secrets, and the only person who believes her is Caleb – a boy she isn’t even sure exists. Thriller Horror Drama MadisonIseman IsraelBroussard KatherineHeigl HarryConnickJr. EugenieBondurant CastilleLandon"
601666,I Care a Lot,A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage. Comedy Crime Thriller Drama RosamundPike PeterDinklage EizaGonzález DianneWiest ChrisMessina JBlakeson
621876,Flora & Ulysses,"When Flora rescues a squirrel she names Ulysses, she is amazed to discover he possesses unique superhero powers, which take them on an adventure of humorous complications that ultimately change Flora's life--and her outlook--forever. Family Adventure Comedy Fantasy MatildaLawler AlysonHannigan BenSchwartz DannyPudi BenjaminEvanAinsworth LenaKhan"
579051,Silk Road,"Philosophical twenty-something Ross Ulbricht creates Silk Road, a dark net website that sells drugs, while DEA agent Rick Bowden goes undercover to bring him down. Crime Thriller JasonClarke NickRobinson DanielDavidStewart AlexandraShipp PaulWalterHauser TillerRussell"
587807,Tom & Jerry,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse. Comedy Family Animation ChloëGraceMoretz MichaelPeña ColinJost RobDelaney KenJeong TimStory"
566076,The United States vs. Billie Holiday,"Billie Holiday spent much of her career being adored by fans. In the 1940s, the government targeted Holiday in a growing effort to racialize the war on drugs, ultimately aiming to stop her from singing her controversial ballad, ""Strange Fruit."" Music Drama History AndraDay TrevanteRhodes GarrettHedlund LeslieJordan MissLawrence LeeDaniels"
544401,Cherry,"Cherry drifts from college dropout to army medic in Iraq - anchored only by his true love, Emily. But after returning from the war with PTSD, his life spirals into drugs and crime as he struggles to find his place in the world. Drama Crime TomHolland CiaraBravo JackReynor MichaelRispoli JeffreyWahlberg AnthonyRusso"
580532,Crisis,"Three stories about the world of opioids collide: a drug trafficker arranges a multi-cartel Fentanyl smuggling operation between Canada and the U.S., an architect recovering from an OxyContin addiction tracks down the truth behind her son's involvement with narcotics, and a university professor battles unexpected revelations about his research employer, a drug company with deep government influence bringing a new ""non-addictive"" painkiller to market. Thriller Crime Drama GaryOldman ArmieHammer EvangelineLilly GregKinnear MichelleRodriguez NicholasJarecki"
