movie_id,title,tags
522681,Escape Room,"Six strangers find themselves in circumstances beyond their control, and must use their wits to survive. Horror Thriller Mystery TaylorRussell LoganMiller JayEllis DeborahAnnWoll NikDodani AdamRobitel"
561362,Rust Creek,"When an overachieving college senior makes a wrong turn, her road trip becomes a life-changing fight for survival in rural Kentucky. Thriller Drama Action Crime HermioneCorfield JayPaulson SeanO'Bryan MicahA.Hauptman DanielR.Hill JenMcGowan"
567738,American Hangman,"An unidentified man posts a live feed on social media showing that he has kidnapped two strangers and intends to kill one before the day is out. His intention is to hold a capital 'trial' online. As the authorities recognize what's happening, it becomes apparent that the online public is going to act as judge and jury. Thriller DonaldSutherland VincentKartheiser OliverDennis PaulBraunstein MattBaram WilsonConeybeare"
508763,A Dog's Way Home,"The adventure of Bella, a dog who embarks on an epic 400-mile journey home after she is separated from her beloved human. Drama Adventure Family AshleyJudd JonahHauer-King EdwardJamesOlmos AlexandraShipp ChrisBauer CharlesMartinSmith"
440472,The Upside,"Phillip is a wealthy quadriplegic who needs a caretaker to help him with his day-to-day routine in his New York penthouse. He decides to hire Dell, a struggling parolee who's trying to reconnect with his ex and his young son. Despite coming from two different worlds, an unlikely friendship starts to blossom. Comedy Drama KevinHart BryanCranston NicoleKidman GolshiftehFarahani AjaNaomiKing NeilBurger"
414777,After Darkness,"As the Sun burns out, an American family gathers at the end of the world, their hopes for rescue slowly crumbling as they also confront long lasting divides amongst each other. Drama Family Thriller Science Fiction NataliaDyer ValorieCurry KyraSedgwick TimDaly JohnPatrickAmedori BatanSilva"
450465,Glass,"In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men. Thriller Drama Science Fiction JamesMcAvoy BruceWillis SamuelL.Jackson AnyaTaylor-Joy SarahPaulson M.NightShyamalan"
460321,Close,"A counter-terrorism expert takes a job protecting a young heiress. After an attempted kidnapping puts both of their lives in danger, they must flee. Action Adventure Thriller NoomiRapace SophieNélisse IndiraVarma EoinMacken AkinGazi VickyJewson"
516630,The Standoff at Sparrow Creek,"After a mass shooting at a police funeral, reclusive ex-cop Gannon finds himself unwittingly forced out of retirement when he realizes that the killer belongs to the same militia he joined after quitting the force. Understanding that the shooting could set off a chain reaction of copycat violence across the country, Gannon quarantines his fellow militiamen in the remote lumber mill they call their headquarters. There, he sets about a series of grueling interrogations, intent on ferreting out the killer and turning him over to the authorities to prevent further bloodshed. Drama Thriller Mystery JamesBadgeDale BrianGeraghty PatrickFischler ChrisMulkey HappyAnderson HenryDunham"
554739,The Final Wish,"Following the passing of his father, Aaron Hammond returns to his hometown to help his devastated mother and to confront his past demons. Sifting through his father’s belongings, Aaron comes upon a mysterious item that is far more than it seems. Horror LinShaye MichaelWelch MelissaBolona SpencerLocke TonyTodd TimothyWoodwardJr."
454294,The Kid Who Would Be King,"Old-school magic meets the modern world when young Alex stumbles upon the mythical sword Excalibur. He soon unites his friends and enemies, and they become knights who join forces with the legendary wizard Merlin. Together, they must save mankind from the wicked enchantress Morgana and her army of supernatural warriors. Action Adventure Fantasy Family LouisAshbourneSerkis DeanChaumoo TomTaylor RhiannaDorris DeniseGough JoeCornish"
452832,Serenity,"The quiet life of Baker Dill, a fishing boat captain who lives on the isolated Plymouth Island, where he spends his days obsessed with capturing an elusive tuna while fighting his personal demons, is interrupted when someone from his past comes to him searching for help. Thriller Mystery Drama MatthewMcConaughey AnneHathaway JasonClarke DianeLane DjimonHounsou StevenKnight"
505948,I Am Mother,"A teenage girl is raised underground by a robot ""Mother"", designed to repopulate the earth following an extinction event. But their unique bond is threatened when an inexplicable stranger arrives with alarming news. Science Fiction Thriller ClaraRugaard RoseByrne HilarySwank LukeHawker TahliaSturzaker GrantSputore"
565743,The Vast of Night,"At the dawn of the space-race, two radio-obsessed teens discover a strange frequency over the airwaves in what becomes the most important night of their lives and in the history of their small town. Drama Mystery Science Fiction Thriller SierraMcCormick JakeHorowitz BruceDavis GailCronauer CheyenneBarton AndrewPatterson"
500852,Miss Bala,"Gloria finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. Surviving will require all of her cunning, inventiveness, and strength. Action GinaRodriguez IsmaelCruzCórdova AislinnDerbez MattLauria DamiánAlcázar CatherineHardwicke"
463684,Velvet Buzzsaw,"Big money artists and mega-collectors pay a high price when art collides with commerce. After a series of paintings by an unknown artist are discovered, a supernatural force enacts revenge on those who have allowed their greed to get in the way of art. Thriller Mystery Horror ReneRusso JakeGyllenhaal ZaweAshton TomSturridge ToniCollette DanGilroy"
280217,The Lego Movie 2: The Second Part,"It's been five years since everything was awesome and the citizens are facing a huge new threat: LEGO DUPLO® invaders from outer space, wrecking everything faster than they can rebuild. Action Adventure Animation Comedy Family ChrisPratt ElizabethBanks WillArnett TiffanyHaddish StephanieBeatriz MikeMitchell"
487297,What Men Want,"Magically able to hear what men are thinking, a sports agent uses her newfound ability to turn the tables on her overbearing male colleagues. Comedy Romance TarajiP.Henson AldisHodge JoshBrener TracyMorgan ShanePaulMcGhie AdamShankman"
438650,Cold Pursuit,"The quiet family life of Nels Coxman, a snowplow driver, is upended after his son's murder. Nels begins a vengeful hunt for Viking, the drug lord he holds responsible for the killing, eliminating Viking's associates one by one. As Nels draws closer to Viking, his actions bring even more unexpected and violent consequences, as he proves that revenge is all in the execution. Comedy Action Crime Thriller LiamNeeson TomBateman TomJackson LauraDern NicholasHolmes HansPetterMoland"
510498,High Flying Bird,"During an NBA lockout, a sports agent, Ray Burke, presents his rookie client, Erick Scott, with an intriguing and controversial business opportunity. Drama AndréHolland ZazieBeetz MelvinGregg SonjaSohn ZacharyQuinto StevenSoderbergh"
532671,The Prodigy,A mother concerned about her young son's disturbing behavior thinks something supernatural may be affecting him. Horror Thriller TaylorSchilling JacksonRobertScott ColmFeore BrittanyAllen PeterMooney NicholasMcCarthy
449563,Isn't It Romantic,"For a long time, Natalie, an Australian architect living in New York City, had always believed that what she had seen in rom-coms is all fantasy. But after thwarting a mugger at a subway station only to be knocked out while fleeing, Natalie wakes up and discovers that her life has suddenly become her worst nightmare—a romantic comedy—and she is the leading lady. Comedy Fantasy Romance RebelWilson LiamHemsworth AdamDevine PriyankaChopraJonas BettyGilpin ToddStrauss-Schulson"
512196,Happy Death Day 2U,"Collegian Tree Gelbman wakes up in horror to learn that she's stuck in a parallel universe. Her boyfriend Carter is now with someone else, and her friends and fellow students seem to be completely different versions of themselves. When Tree discovers that Carter's roommate has been altering time, she finds herself once again the target of a masked killer. When the psychopath starts to go after her inner circle, Tree soon realizes that she must die over and over again to save everyone. Comedy Horror Science Fiction JessicaRothe IsraelBroussard RubyModine SurajSharma RachelMatthews ChristopherLandon"
