movie_id,title,tags
443791,Underwater,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time. Horror Science Fiction Action Adventure KristenStewart VincentCassel MamoudouAthie T.J.Miller JohnGallagherJr. WilliamEubank"
526019,Like a Boss,"Two female friends with very different ideals decide to start a beauty company together. One is more practical, while the other wants to earn her fortune and live a lavish lifestyle. Comedy TiffanyHaddish RoseByrne SalmaHayekPinault KaranSoni JacobLatimore MiguelArteta"
527534,The Murder of Nicole Brown Simpson,"In 1994 Nicole Brown Simpson and her friend Ronald Goldman were brutally murdered in her Los Angeles home by whom most believe to be O.J Simpson. But what role did Glen Rogers, also known as the Casanova Killer play in their death? Thriller Drama Crime MenaSuvari NickStahl TarynManning AgnesBruckner CCKing DanielFarrands"
662844,Angels Fallen,"After the tragic loss of his wife battling the forces of darkness, Gabriel is persuaded to rejoin his former team of demon hunters traveling from relatively obscurity in America to the deep unknown regions of Europe. He is joined by his estranged best friend Michael who harbors a dark secret, the mystical Hannah whose visions predict the future, and a motley crew of demon slayers. After losing part of his team Gabriel must confront his tragic past and decide who really is friend or foe. Horror Fantasy Action HoustonRhines MichaelTeh NicolaPosener LiJing MichaelMadsen AliZamani"
38700,Bad Boys for Life,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel. Thriller Action Crime WillSmith MartinLawrence PaolaNuñez VanessaHudgens AlexanderLudwig AdilElArbi BilallFallah"
448119,Dolittle,"After losing his wife seven years earlier, the eccentric Dr. John Dolittle, famed doctor and veterinarian of Queen Victoria’s England, hermits himself away behind the high walls of Dolittle Manor with only his menagerie of exotic animals for company. But when the young queen falls gravely ill, a reluctant Dolittle is forced to set sail on an epic adventure to a mythical island in search of a cure, regaining his wit and courage as he crosses old adversaries and discovers wondrous creatures. Family Comedy Fantasy Adventure RobertDowneyJr. AntonioBanderas MichaelSheen JimBroadbent JessieBuckley StephenGaghan"
651070,A Fall from Grace,"When a law-abiding woman gets indicted for murdering her husband, her lawyer soon realizes that a larger conspiracy may be at work. Drama Thriller Mystery CrystalFox PhyliciaRashād BreshaWebb MehcadBrooks CicelyTyson TylerPerry"
522627,The Gentlemen,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him. Action Crime Comedy MatthewMcConaughey CharlieHunnam HenryGolding MichelleDockery JeremyStrong GuyRitchie"
492611,The Turning,"A young woman quits her teaching job to be a private tutor for two wealthy young kids, but soon starts to suspect there’s more to their house than what meets the eye. Horror Thriller MackenzieDavis FinnWolfhard BrooklynnPrince MarkHuberman NiallGreigFulton FloriaSigismondi"
442065,The Last Full Measure,"The incredible true story of Vietnam War hero William H. Pitsenbarger, a U.S. Air Force Pararescuemen medic who personally saved over sixty men. Thirty-two years later, Pentagon staffer Scott Huffman investigates a Congressional Medal of Honor request for Pitsenbarger and uncovers a high-level conspiracy behind the decades-long denial of the medal, prompting Huffman to put his own career on the line to seek justice for the fallen airman. Drama Action War SebastianStan ChristopherPlummer WilliamHurt EdHarris SamuelL.Jackson ToddRobinson"
