movie_id,title,tags
522016,The 355,"A group of top female agents from American, British, Chinese, Colombian, and German government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos. Action Thriller JessicaChastain LupitaNyong'o PenélopeCruz DianeKruger FanBingbing SimonKinberg"
631947,The Legend of La Llorona,"While vacationing in Mexico, a couple discovers their son's disappearance is tied to a supernatural curse. Horror Thriller AutumnReeser AntonioCupo DannyTrejo NicolasMadrazo AngélicaLara PatriciaHarrisSeeley"
753232,The Commando,"An elite DEA agent returns home after a failed mission when his family makes an unexpected discovery in their house – a stash of money worth $3 million. They soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent’s daughters. Stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals. Action Crime Thriller MichaelJaiWhite MickeyRourke JeffFahey BrendanFehr ArisMejias AsifAkbar"
766907,American Siege,An ex-NYPD officer-turned-sheriff of a small rural Georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage. Action Adventure Thriller BruceWillis RobGough AnnaLouiseMorse TrevorGretzky CullenG.Chambers EdwardDrake
646385,Scream,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past. Horror Mystery Thriller MelissaBarrera JennaOrtega MasonGooding JasminSavoyBrown JackQuaid MattBettinelli-Olpin"
585083,Hotel Transylvania: Transformania,"When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy. Animation Comedy Family Adventure Fantasy BrianHull SelenaGomez AndySamberg KathrynHahn JimGaffigan DerekDrymon"
522016,The 355,"A group of top female agents from American, British, Chinese, Colombian, and German government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos. Action Thriller JessicaChastain LupitaNyong'o PenélopeCruz DianeKruger FanBingbing SimonKinberg"
631947,The Legend of La Llorona,"While vacationing in Mexico, a couple discovers their son's disappearance is tied to a supernatural curse. Horror Thriller AutumnReeser AntonioCupo DannyTrejo NicolasMadrazo AngélicaLara PatriciaHarrisSeeley"
753232,The Commando,"An elite DEA agent returns home after a failed mission when his family makes an unexpected discovery in their house – a stash of money worth $3 million. They soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent’s daughters. Stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals. Action Crime Thriller MichaelJaiWhite MickeyRourke JeffFahey BrendanFehr ArisMejias AsifAkbar"
766907,American Siege,An ex-NYPD officer-turned-sheriff of a small rural Georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage. Action Adventure Thriller BruceWillis RobGough AnnaLouiseMorse TrevorGretzky CullenG.Chambers EdwardDrake
646385,Scream,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past. Horror Mystery Thriller MelissaBarrera JennaOrtega MasonGooding JasminSavoyBrown JackQuaid MattBettinelli-Olpin"
585083,Hotel Transylvania: Transformania,"When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy. Animation Comedy Family Adventure Fantasy BrianHull SelenaGomez AndySamberg KathrynHahn JimGaffigan DerekDrymon"
522016,The 355,"A group of top female agents from American, British, Chinese, Colombian, and German government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos. Action Thriller JessicaChastain LupitaNyong'o PenélopeCruz DianeKruger FanBingbing SimonKinberg"
631947,The Legend of La Llorona,"While vacationing in Mexico, a couple discovers their son's disappearance is tied to a supernatural curse. Horror Thriller AutumnReeser AntonioCupo DannyTrejo NicolasMadrazo AngélicaLara PatriciaHarrisSeeley"
753232,The Commando,"An elite DEA agent returns home after a failed mission when his family makes an unexpected discovery in their house – a stash of money worth $3 million. They soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent’s daughters. Stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals. Action Crime Thriller MichaelJaiWhite MickeyRourke JeffFahey BrendanFehr ArisMejias AsifAkbar"
766907,American Siege,An ex-NYPD officer-turned-sheriff of a small rural Georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage. Action Adventure Thriller BruceWillis RobGough AnnaLouiseMorse TrevorGretzky CullenG.Chambers EdwardDrake
646385,Scream,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past. Horror Mystery Thriller MelissaBarrera JennaOrtega MasonGooding JasminSavoyBrown JackQuaid MattBettinelli-Olpin"
585083,Hotel Transylvania: Transformania,"When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy. Animation Comedy Family Adventure Fantasy BrianHull SelenaGomez AndySamberg KathrynHahn JimGaffigan DerekDrymon"
522016,The 355,"A group of top female agents from American, British, Chinese, Colombian, and German government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos. Action Thriller JessicaChastain LupitaNyong'o PenélopeCruz DianeKruger FanBingbing SimonKinberg"
631947,The Legend of La Llorona,"While vacationing in Mexico, a couple discovers their son's disappearance is tied to a supernatural curse. Horror Thriller AutumnReeser AntonioCupo DannyTrejo NicolasMadrazo AngélicaLara PatriciaHarrisSeeley"
753232,The Commando,"An elite DEA agent returns home after a failed mission when his family makes an unexpected discovery in their house – a stash of money worth $3 million. They soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent’s daughters. Stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals. Action Crime Thriller MichaelJaiWhite MickeyRourke JeffFahey BrendanFehr ArisMejias AsifAkbar"
