movie_id,title,tags
872954,The Old Way,"An old gunslinger and his daughter must face the consequences of his past, when the son of a man he killed years ago arrives to take his revenge. Western NicolasCage RyanKieraArmstrong NoahLeGros ClintHoward ShilohFernandez BrettDonowho"
296271,The Devil Conspiracy,"A powerful biotech company has breakthrough technology allowing them to clone history’s most influential people with just a few fragments of DNA. Behind this company is a cabal of Satanists that steals the shroud of Christ, putting them in possession of Jesus’ DNA. The clone will serve as the ultimate offering to the devil. The Archangel Michael comes to earth and will stop at nothing to end the devil’s conspiracy. Horror Fantasy Science Fiction Thriller AliceOrr-Ewing JoeDoyle EvelineHall PeterMensah JoeAnderson NathanFrankowski"
646389,Plane,"After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage. Action Adventure Thriller GerardButler MikeColter TonyGoldwyn YosonAn EvanDaneTaylor Jean-FrançoisRichet"
632065,House Party,"Aspiring club promoters and best buds Damon and Kevin are barely keeping things together. Out of money, down on their luck and about to lose the roofs over their heads—and freshly fired from their low-lift jobs as house cleaners—the pair needs a huge windfall to make their problems go away. In a ‘what the hell?’ move, they decide to host the party of the year at an exclusive mansion, the site of their last cleaning job, which just happens to belong to none other than LeBron James. No permission? No problem. What could go wrong? Comedy JacobLatimore TosinCole KarenObilom D.C.YoungFly ShakiraJa'naiPaye Calmatic"
1195746,Sick,We all know what it feels like when you're sick. Doesn't make it any less unpleasant. AidanMason JoshuaUy AidanMason
858408,Dog Gone,"When his beloved dog goes missing, a young man embarks on an incredible search with his parents to find him and give him life-saving medication. Family Adventure Drama JohnnyBerchtold RobLowe KimberlyWilliams-Paisley NickPeine SavannahBruffey StephenHerek"
899579,There's Something Wrong with the Children,"Margaret and Ben take a weekend trip with longtime friends Ellie and Thomas and their two young children. Eventually, Ben begins to suspect something supernatural is occurring when the kids behave strangely after disappearing into the woods overnight. Horror Mystery Thriller ZachGilford AlishaWainwright AmandaCrew CarlosSantos BriellaGuiza RoxanneBenjamin"
768362,Missing,"When her mother disappears while on vacation in Colombia with her new boyfriend, June’s search for answers is hindered by international red tape. Stuck thousands of miles away in Los Angeles, June creatively uses all the latest technology at her fingertips to try and find her before it’s too late. But as she digs deeper, her digital sleuthing raises more questions than answers... and when June unravels secrets about her mom, she discovers that she never really knew her at all. Thriller Mystery StormReid JoaquimdeAlmeida KenLeung AmyLandecker DanielHenney NicholasD.Johnson WillMerrick"
695721,The Hunger Games: The Ballad of Songbirds & Snakes,"64 years before he becomes the tyrannical president of Panem, Coriolanus Snow sees a chance for a change in fortunes when he mentors Lucy Gray Baird, the female tribute from District 12. Action Romance Drama TomBlyth RachelZegler JoshAndrésRivera PeterDinklage ViolaDavis FrancisLawrence"
691422,When You Finish Saving the World,"Evelyn and her oblivious son Ziggy seek out replacements for each other. As Evelyn tries to parent an unassuming teenager at her shelter, Ziggy fumbles through his pursuit of a brilliant young woman at school. Drama Comedy JulianneMoore FinnWolfhard BillyBryk AlishaBoe JackJustice JesseEisenberg"
