movie_id,title,tags
406563,Insidious: The Last Key,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home. Horror Mystery Thriller LinShaye LeighWhannell AngusSampson KirkAcevedo CaitlinGerard AdamRobitel"
426258,The Strange Ones,"Mysterious events surround the travels of two brothers as they make their way across a remote American landscape. On the surface all seems normal, but what appears to be a simple vacation soon gives way to a dark and complex web of secrets. This is the feature film version of the 2011 short film going by the same name. Thriller Drama AlexPettyfer JamesFreedson-Jackson MarinIreland CindyCheung MelanieNicholls-King LaurenWolkstein"
468210,Sweet Country,"In 1929, an Australian Aboriginal stockman kills a white station owner in self-defense and goes on the lam, pursued by a posse. Western Crime Thriller Drama HamiltonMorris BryanBrown SamNeill ThomasM.Wright EwenLeslie WarwickThornton"
399035,The Commuter,"A businessman, on his daily commute home, gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him. Action Thriller Mystery LiamNeeson VeraFarmiga PatrickWilson JonathanBanks SamNeill JaumeCollet-Serra"
442064,Proud Mary,"Mary is a hit woman working for an organized crime family in Boston, whose life is completely turned around when she meets a young boy whose path she crosses when a professional hit goes bad. Thriller Action Crime TarajiP.Henson JahiDi'AlloWinston DannyGlover BillyBrown NealMcDonough BabakNajafi"
479040,Acts of Violence,"When his fiancee is kidnapped by human traffickers, Roman and his ex-military brothers set out to track her down and save her before it is too late. Along the way, Roman teams up with Avery, a cop investigating human trafficking and fighting the corrupt bureaucracy that has harmful intentions. Action Crime Thriller BruceWillis ColeHauser ShawnAshmore AshtonHolmes MelissaBolona BrettDonowho"
440424,Freak Show,"The story of teenager Billy Bloom who, despite attending an ultra conservative high school, makes the decision to run for homecoming queen. Comedy Drama AlexLawther IanNelson AnnaSophiaRobb CeliaWeston AbigailBreslin TrudieStyler"
655232,Vazante,"On an empty beach, 5 kids talk and talk, over the beach lenght. They are young but not dumb. Mean but not beamed. And cute but not stupid. Drama FábioAllon"
429351,12 Strong,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban. War Drama Action History ChrisHemsworth MichaelShannon MichaelPeña NavidNegahban TrevanteRhodes NicolaiFuglsig
449443,Den of Thieves,A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank. Action Thriller Crime GerardButler DawnOlivieri O'SheaJacksonJr. PabloSchreiber 50Cent ChristianGudegast
417261,Forever My Girl,"After being gone for a decade, a country star returns home to the love he left behind. Romance Drama Music AlexRoe JessicaRothe JohnBenjaminHickey AbbyRyderFortson PeterCambor BethanyAshtonWolf"
336843,Maze Runner: The Death Cure,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze. Science Fiction Action Adventure Thriller DylanO'Brien KayaScodelario ThomasBrodie-Sangster KiHongLee RosaSalazar WesBall"
489749,Trump: The Art of the Insult,"Joel Gilbert's directing style is on full display here with a look at how Donald Trump dominated the 2016 race, using The Art of the Insult to brand political opponents and bash the media all the way to the White House. Documentary DonaldTrump JoelGilbert"
338768,Please Stand By,"A young autistic woman runs away from her caregiver in order to boldly go and deliver her 500-page Star Trek script to a writing competition in Hollywood. On an adventure full of laughter and tears, Wendy follows the guiding spirit of Mr. Spock on her journey into the unknown. Comedy Drama DakotaFanning AliceEve ToniCollette RiverAlexander ShawnRoe BenLewin"
416234,Winchester,"San Jose, California, 1906. Isolated in her labyrinthine mansion, eccentric firearm heiress Sarah Winchester believes that she is being haunted by the souls of those killed by the guns manufactured by her company. Horror Thriller JasonClarke HelenMirren SarahSnook FinnScicluna-O'Prey EmmWiseman MichaelSpierig"
483315,Armed,A former U.S. marshal discovers that all of the survivors of his old unit are experiencing the same symptoms simultaneously and there may be a larger conspiracy at hand. Action Thriller MarioVanPeebles WilliamFichtner RyanGuzman ColumbusShort LazAlonso MarioVanPeebles
384521,The Cloverfield Paradox,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality. Horror Science Fiction Action Thriller GuguMbatha-Raw DanielBrühl ChrisO'Dowd DavidOyelowo JohnOrtiz JuliusOnah"
497269,Bad Apples,"It’s Halloween night, and two “bad apples” decide to play some wicked tricks on the one house in a suburban cul-de-sac that is not celebrating Halloween. They terrorize a young couple in their home and these tricks become increasingly more sinister as the night progresses, finally ending in a Halloween the entire neighborhood will never forget. Horror BreaGrant GrahamSkipper AlyciaLourim HeatherVaughn RichardRiehle BryanCoyne"
381719,Peter Rabbit,Peter Rabbit's feud with Mr. McGregor escalates to greater heights than ever before as they rival for the affections of the warm-hearted animal lover who lives next door. Animation Adventure Family JamesCorden RoseByrne MargotRobbie SamNeill DomhnallGleeson WillGluck
447856,Pad Man,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India. Comedy Drama AkshayKumar RadhikaApte SonamKapoorAhuja JyotiSubhash MrinmayeeGodbole R.Balki"
337167,Fifty Shades Freed,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins. Drama Romance DakotaJohnson JamieDornan EricJohnson LukeGrimes RitaOra JamesFoley"
453201,The 15:17 to Paris,"On Aug. 21, 2015, the world watches in stunned silence as the media reports a thwarted terrorist attack on a train that's bound for Paris -- an attempt prevented by three young Americans traveling together through Europe. The heroic and courageous actions of Anthony Sadler, Alek Skarlatos and Spencer Stone help to save the lives of more than 500 passengers on board. Drama Thriller RayCorasani SpencerStone AnthonySadler AlekSkarlatos JudyGreer ClintEastwood"
498919,Valentina's Wedding,Valentina's seemingly idyllic life in the US is interrupted when planning a wedding means introducing her fiancé to her scandalous family in Mexico. Comedy OmarChaparro KateVernon RyanCarnes MarimarVega TonyDalton MarcoPoloConstandse
583934,Kartha Karma Kriya,"Sidhu is a playful youth who works in a mobile store. His only aim is to earn easy money. As time passes, he falls in love with Mythri who in turn is looking for the murderer of her sister. Knowing this, Siddhu starts helping Mythri and finds out that there are two other girls who have died in the same manner as her sister. Who is the murderer and what did he gain forms the rest of the story. Crime Thriller RaviVarma RaghuBabu NutanRai SaharAfsha Jayaprakash NaguGavara"
